Language	Language(local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Maori	Māori	mi	7,138	13,426	148,943	3	9,016	14	0	8.61
Nahuatl	Nāhuatl	nah	7,119	19,578	448,899	3	15,099	23	174	70.23
Wu	吴语	wuu	6,791	16,762	249,342	3	52,571	40	239	32.07
Dutch Low Saxon	Nedersaksies	nds-nl	6,751	16,755	319,578	6	16,708	27	612	41.88
Silesian	ślůnski	szl	6,705	15,877	243,787	2	13,883	24	0	28.73
Gan	贛語	gan	6,396	33,177	411,237	2	28,748	16	149	217.32
Rusyn	русиньскый	rue	6,385	11,804	118,468	0	14,925	17	0	7.23
North Frisian	Nordfriisk	frr	6,370	19,651	135,476	4	10,459	17	741	29.97
West Flemish	West-Vlams	vls	6,327	18,435	306,834	3	15,674	21	503	60.96
Khmer	ភាសាខ្មែរ	km	6,130	26,508	207,825	5	22,655	39	1,196	86.64
Tibetan	བོད་ཡིག	bo	5,725	16,019	134,009	0	16,604	23	0	27.05
Vepsian	vepsän kel’	vep	5,709	18,317	107,690	0	8,837	27	0	28.67
Gilaki	گیلکی	glk	5,681	11,914	53,556	3	9,680	13	807	5.41
Sardinian	sardu	sc	5,633	13,362	158,872	2	12,771	20	121	22.38
Crimean Tatar	qırımtatarca	crh	5,609	19,442	141,143	1	11,605	13	0	44.16
Võro	Võro	fiu-vro	5,519	9,873	178,890	2	9,059	10	211	11.28
Corsican	corsu	co	5,501	13,502	371,539	1	13,171	23	0	58.21
Northern Luri	لۊری شومالی	lrc	5,348	8,819	84,997	1	2,700	13	0	4.06
Turkmen	Türkmençe	tk	5,300	13,378	210,628	0	15,304	24	311	36.57
Komi	коми	kv	5,260	11,532	136,333	0	9,029	9	0	16.81
Kashubian	kaszëbsczi	csb	5,226	8,328	179,336	2	10,755	11	0	7.59
Manx	Gaelg	gv	4,964	17,725	308,349	2	12,669	15	181	114.96
Assamese	অসমীয়া	as	4,852	39,211	173,569	3	18,375	38	1,365	221.97
Erzya	эрзянь	myv	4,702	11,028	98,584	3	7,516	16	0	16.18
Ladino	Ladino	lad	4,623	13,916	210,791	4	13,516	23	23	61.21
Somali	Soomaaliga	so	4,477	17,818	172,638	1	18,953	58	1	86.04
Zeelandic	Zeêuws	zea	4,394	8,179	106,762	4	8,001	16	1	9.69
Navajo	Diné bizaad	nv	4,339	15,873	185,387	2	10,115	7	537	82.53
Aymara	Aymar aru	ay	4,279	8,559	85,693	0	10,874	16	0	10.02
Udmurt	удмурт	udm	4,268	11,534	114,993	4	9,157	9	9	28.9
